id	date	shift	hour	prod_id	color_id	first_class	second_class	rejected	total	checkpoint_nr	stop_time	stop_cause	quality_percentage	defects
1061	2019-10-28 00:00:00	2	1	2	5	360	30	12	402	1	5	51	0.89552241563797	frete nicado/picos/pingos
1062	2019-10-28 00:00:00	2	3	2	5	240	50	12	302	1	10	51	0.794701993465424	picos/pingos
1063	2019-10-28 00:00:00	2	4	2	5	60	60	29	149	1	25	56	0.402684569358826	picos/pingos
1064	2019-10-28 00:00:00	2	5	6	5	480	30	9	519	1	20	51	0.924855470657349	picos/pingos
1065	2019-10-28 00:00:00	2	6	6	5	720	10	4	734	1	15	51	0.98092645406723	
1066	2019-10-28 00:00:00	2	2	13	3	864	20	8	892	3	10	51	0.968609869480133	
1067	2019-10-28 00:00:00	2	1	8	5	720	20	3	743	4	10	51	0.969044387340546	
1068	2019-10-28 00:00:00	2	2	8	5	696	40	4	740	4	10	51	0.940540552139282	picos/frete nicado
1069	2019-10-28 00:00:00	2	1	13	5	880	20	4	904	5	5	51	0.973451316356659	
1070	2019-10-28 00:00:00	2	1	12	1	528	0	16	544	6	25	51	0.970588207244873	
1071	2019-10-28 00:00:00	2	2	12	1	528	0	48	576	6	25	51	0.916666686534882	
1072	2019-10-28 00:00:00	2	3	12	1	720	0	7	727	6	5	51	0.990371406078339	
1073	2019-10-28 00:00:00	2	4	12	1	816	0	23	839	6	5	51	0.972586393356323	
1074	2019-10-28 00:00:00	2	5	11	1	408	0	12	420	7	5		0.971428573131561	
1075	2019-10-28 00:00:00	2	6	11	1	864	0	3	867	7	10		0.996539771556854	
1076	2019-10-28 00:00:00	2	2	13	6	480	20	9	509	7	30	51;55	0.943025529384613	frete vidrado zB e zC/picos
1077	2019-10-28 00:00:00	2	3	13	6	384	0	7	391	7	20	51	0.982097208499908	
1078	2019-10-28 00:00:00	2	1	8	6	912	40	15	967	8	10	51	0.943123042583466	residuos/pingos/picos/f. beira
1079	2019-10-28 00:00:00	3	8	6	5	840	10	28	878	1	15	51	0.956719815731049	
1080	2019-10-28 00:00:00	3	5	13	3	792	30	12	834	3	8	51	0.949640274047852	picos a; pingos a
1081	2019-10-28 00:00:00	3	6	13	3	648	60	14	722	3	15	51	0.897506952285767	
1082	2019-10-28 00:00:00	3	4	8	5	624	20	5	649	4	25	51	0.961479187011719	
1083	2019-10-28 00:00:00	3	7	8	5	648	40	53	741	4	10	51	0.874493956565857	
1084	2019-10-28 00:00:00	3	4	13	5	576	0	2	578	5	25	51	0.996539771556854	
1085	2019-10-28 00:00:00	3	5	13	5	384	0	3	387	5	40	51	0.992248058319092	
1086	2019-10-28 00:00:00	3	6	13	5	720	20	21	761	5	10	51	0.946123540401459	picos a; pingos a
1087	2019-10-28 00:00:00	3	2	12	1	576	0	15	591	6	14	51	0.974619269371033	
1088	2019-10-28 00:00:00	3	3	12	1	672	0	24	696	6	5	51	0.965517222881317	
1089	2019-10-28 00:00:00	3	7	12	1	720	0	38	758	6	5	51	0.949868083000183	
1090	2019-10-28 00:00:00	3	8	12	1	768	0	12	780	6	5	51	0.984615385532379	
1091	2019-10-28 00:00:00	3	4	5	1	648	0	24	672	8	25	51	0.964285731315613	
1092	2019-10-28 00:00:00	3	5	5	1	720	0	24	744	8	20	51	0.967741906642914	
1093	2019-09-30 00:00:00	2	1	4	3	1042	20	4	1066	2	5	51	0.977485954761505	
1094	2019-09-30 00:00:00	2	2	11	1	432	0	33	465	2	10	56	0.929032266139984	
1095	2019-09-30 00:00:00	2	2	4	6	768	9	2	779	3	15	69	0.985879361629486	
1096	2019-09-30 00:00:00	2	2	3	-1	648	50	19	717	6	25	69	0.903765678405762	marca spindle / f. nicado
1097	2019-09-30 00:00:00	2	2	13	3	648	0	17	665	7	20	69	0.974436104297638	
1098	2019-09-30 00:00:00	2	2	8	3	504	60	3	567	8	20	69	0.888888895511627	f. nicado
1099	2019-09-30 00:00:00	3	3	2	5	232	50	10	292	1	20	51	0.794520556926727	pingos a; picos a; f.col
